;;K0,1radni,4zima DF;P1,1radni,4zima DF;P2,1radni,4zima DF;JR0,1radni,4zima DF;K0,2subota,4zima;P1,2subota,4zima;P2,2subota,4zima;JRO,2subota,4zima;K0,3nedjelja,4zima;P1,3nedjelja,4zima;P2,3nedjelja,4zima;JRO,3nedjelja,4zima
0;00;47,77191295;28,17625631;25,87678713;99,45705341;64,26361878;43,06221366;36,05937689;97,8761993;71,27291505;64,15094142;68,63901538;97,88287732
0;15;44,2614505;28,03897545;26,07608258;99,48019906;59,47371864;42,00589327;35,0088195;98,31765175;65,79886926;63,2159231;69,20444262;98,81692293
0;30;41,57718474;27,80109299;25,5970258;99,57915708;55,07887992;40,52707885;36,08638258;98,28525207;61,53287808;63,64918851;68,6164529;99,72533749
0;45;39,41486852;27,57358894;25,72686085;99,48831095;51,08164354;40,06695842;35,25170857;98,64847885;57,46210693;61,25070706;67,33361603;99,34304201
1;00;37,37442833;27,37813111;25,5796996;99,44286559;47,65946224;39,36824047;35,28659888;99,3007391;53,37245547;62,19759364;66,18105075;100
1;15;36,35659192;26,96788566;24,71430013;99,57239885;45,61447375;39,02825154;36,08549441;99,65432098;50,55538634;60,46095828;67,11958683;99,72428241
1;30;35,12633226;26,78111137;24,78940205;99,37694868;42,61586361;38,89005698;34,02564444;99,58327621;48,42717122;61,2719976;67,50613312;99,78292889
1;45;34,37101777;26,81185172;24,54575869;99,47662181;40,66762272;38,64315642;34,84765417;99,41751388;46,19116005;61,13830467;69,20110691;98,99507844
2;00;33,67131871;26,82243344;24,88336093;99,52131841;39,42170161;38,54081717;33,00811874;99,55813146;44,47561419;60,14094299;69,46367112;98,67583858
2;15;33,05742058;26,8605593;24,90437316;99,60673684;38,22426419;37,47714699;33,66111724;99,86481274;43,22725968;60,31127898;70,81527014;99,59176052
2;30;33,11830463;27,29338938;25,5907808;99,47405246;37,69338023;37,95899725;32,57627456;99,58936462;42,04159235;59,22772852;69,63059828;99,6062965
2;45;32,8156096;27,25710696;25,3480458;99,39522442;36,26305121;37,85844805;32,04757629;99,5330225;40,47760637;59,69026405;67,38874471;99,46774714
3;00;33,01734673;27,00622265;25,09069498;99,41447312;35,79285583;37,61462389;32,86397627;99,65416683;39,61173624;58,30403794;68,02996037;98,91724528
3;15;33,31297538;26,8981378;25,25596042;99,31498634;34,52238528;37,81126475;33,28541169;99,39349904;38,49481472;58,83552371;67,94827448;99,12338991
3;30;33,63056682;26,81170315;24,82864043;99,1902397;34,29921979;37,74763784;33,47578498;99,32112384;37,76602261;58,37681076;63,96798832;99,1647667
3;45;34,04870797;26,53246343;24,79630099;99,22607017;33,74001148;38,49920173;34,7903176;99,13529973;37,75799798;58,38451424;60,28582694;99,28291365
4;00;35,73700954;26,62601381;24,9880036;99,25637367;33,96954413;38,45496485;33,67318135;99,18738212;36,69430793;58,0293958;59,57422015;99,02706895
4;15;37,1773711;26,65681868;25,73139215;98,92819326;33,78654841;37,82186698;33,22857849;99,25697647;36,51171572;57,99799857;57,38079343;99,02210251
4;30;39,56337546;26,59061304;24,86441566;95,22096074;34,36643883;38,10925369;33,75203244;99,06683609;36,57252295;58,03521327;56,59500693;99,07307225
4;45;42,44108617;26,96682808;24,60872597;87,16071475;34,07103462;38,11218116;32,62668485;99,11707435;36,40166446;58,82892462;51,77164937;98,99157921
5;00;46,27432678;27,34829195;25,14691471;80,98803307;35,0708168;36,77156941;33,71588853;98,98869746;36,07003453;56,40351403;50,31620416;98,88953144
5;15;50,18032613;29,69438613;25,16269122;71,35172761;36,00977535;36,43821263;32,63081593;98,88864599;36,25040729;56,32063453;48,95039037;98,60411222
5;30;53,24276899;32,45478797;26,41464785;60,31764512;36,1513935;37,20925862;32,93191038;98,79746988;36,24607413;56,73104615;49,07595412;98,66131728
5;45;56,73722894;33,17797122;28,22784506;47,48419771;37,31801034;37,90237891;32,48351283;98,64471737;36,71149853;57,04640669;49,17125996;98,26786129
6;00;59,89823329;35,36662395;34,16174852;27,95645886;39,16181003;38,40406874;33,47660055;98,43983204;37,5468282;57,56775855;50,29994471;98,23630512
6;15;61,8111889;43,79920693;43,78108794;14,61757541;39,43819902;40,91838094;34,94578122;94,49562998;38,788542;59,87917239;49,70702748;95,1359643
6;30;63,17085994;48,68346142;50,01560725;7,820485381;41,08342685;45,2106014;35,44094684;89,28161858;39,53462267;65,08007615;50,41650511;90,21073247
6;45;63,76714453;53,48232908;54,39364959;5,030592907;43,01602482;44,81713012;35,27148063;79,80259997;41,62175264;64,4959065;49,7586988;82,61768768
7;00;62,4764816;56,53265794;57,52107262;2,000288653;45,43422024;45,96625724;38,35329231;64,27873768;42,57744244;62,53814118;47,93748194;66,960539
7;15;60,81880598;62,89624783;63,22503807;1,414089572;46,84848731;49,49515523;43,53554599;53,9246617;44,85619894;61,8473205;46,8690832;58,44818727
7;30;60,69272213;65,97441796;69,85163202;1,615911811;48,82248185;51,36966699;45,8702664;17,61964059;47,98667853;61,75779135;47,60210339;33,67702962
7;45;60,11626697;67,87623825;76,75062577;1,462707925;51,95297531;54,29792915;48,73098185;2,805222208;51,52262068;61,92964003;49,09152074;8,218618753
8;00;61,00456357;82,53672935;80,73015924;1,003727247;54,98525865;56,86801746;50,57473306;1,645399643;54,68143372;60,16641386;48,81653636;1,317317244
8;15;61,53884191;83,25813561;92,31719131;0,876774277;58,10479713;65,84023995;57,03335952;1,055349886;58,45235468;62,68450732;49,90004885;1,110251992
8;30;61,1694905;97,16916608;94,90003761;1,009454873;61,34951078;69,84563969;67,8582051;0,829505918;63,18664848;63,44526986;48,64550969;0,910430734
8;45;61,32760229;90,87062455;95,08709958;0,751524955;63,81826299;73,44785147;72,53345412;0,659333775;67,93183893;64,99777995;51,61495576;0,956887806
9;00;61,52729103;100;97,91391937;0,600807975;64,98999913;78,56844579;77,25717253;0,598201943;71,74747535;64,01055606;52,87282385;0,866938214
9;15;62,19861786;93,76299782;95,71863742;0,594974766;67,63237579;92,08780529;91,52478737;0,394328975;74,37297289;63,48750873;57,08365551;0,720115953
9;30;61,83890356;92,65342834;96,84924548;0,661970233;69,01463604;95,97589538;94,04776834;0,359736994;77,40460731;64,32125796;59,78529217;0,742390549
9;45;61,73164045;86,31191677;100;0,626805657;70,60880691;96,44700259;96,87360558;0,354737003;79,75720834;68,02665195;65,46101175;0,772380754
10;00;62,22403041;86,17646372;99,8942387;0,54083028;71,45025065;98,76958101;94,08114853;0,387020357;82,71515736;71,85406114;67,44093649;0,730414934
10;15;62,25058999;95,00842892;97,67816111;0,554382912;72,5115528;100;94,92805122;0,507729482;85,03578686;81,71088916;79,83043199;0,826196451
10;30;62,28467066;91,66884944;96,1631154;0,571596076;73,15644795;99,96438572;95,11866168;0,713246472;88,82032253;86,00919456;81,08334891;0,946833954
10;45;63,37563058;85,63067334;95,78222289;0,612667054;73,4813042;99,53507539;97,92596351;0,920969591;89,99360409;88,23301581;80,02312214;1,287723291
11;00;63,76057381;84,70826914;96,21220489;0,586149023;75,07274261;96,6177973;100;0,874823902;91,50757582;87,47467592;82,97190847;1,271281016
11;15;64,3694924;82,296806;92,95295136;0,565682521;75,41305075;96,51964478;93,32366059;0,739987658;92,27713846;87,14680549;85,53826829;1,260194291
11;30;64,7042408;80,70103455;91,45125775;0,533495756;75,56146845;97,05515612;91,90838723;0,987954338;93,17287729;88,36179733;80,88802939;1,63040905
11;45;64,60552857;78,91747422;88,73465068;0,537400267;75,35098901;96,62140721;92,80781295;1,193151634;94,14212893;88,21877934;80,53815895;1,586140288
12;00;63,62761278;77,74800943;88,64359351;0,583656648;75,22569831;96,4920167;90,69961217;1,142471258;94,08057428;89,25913819;81,51116398;1,601526288
12;15;63,07113096;77,03916126;90,42288057;0,637154588;78,1144116;91,77621354;89,41508372;1,230251948;93,66474948;89,12204267;79,0205892;1,65515675
12;30;63,08447154;75,55758754;90,83308043;0,673038902;78,69523047;90,92313637;87,48650623;1,064236228;92,14495546;88,72445592;77,72956684;2,030138036
12;45;62,55722857;74,71453548;90,56374005;0,726431679;78,71516027;88,12551315;84,57597098;1,161573151;91,01176388;84,57605148;79,45107419;2,368782739
13;00;61,2244192;74,67480271;89,28019674;0,800264877;76,51403328;85,20699204;76,99752924;1,737898863;86,87523348;84,89469407;78,52956811;2,431427437
13;15;60,52772138;74,27135631;86,56617387;0,75660898;74,12991468;82,8472476;74,94342454;1,365041011;83,38029874;84,98819357;74,65552769;2,799860848
13;30;60,52162212;74,30066375;85,49696237;0,763749582;74,52919674;82,95842069;73,51013852;1,350319652;81,11452045;84,37963798;74,76154699;3,089584101
13;45;60,73451559;74,24542103;83,36119298;0,796903431;74,5069032;80,44740697;74,98140772;1,61562625;78,43942695;83,32567263;76,87809366;2,859096352
14;00;62,31724016;72,84088684;79,51893389;0,73852338;75,54668825;78,22893077;77,84115272;1,967263527;77,36987936;83,1243905;77,48767927;2,68650859
14;15;63,29716215;71,77849428;74,75290664;0,806690789;75,9806382;76,23804365;76,81598925;1,549392336;76,25031441;83,39109972;77,38185937;1,901553679
14;30;63,25947105;71,85450751;75,57929063;0,875764707;77,06688726;73,25298713;76,2510551;1,610803595;75,55424747;84,75286602;76,30839793;1,511923366
14;45;64,5219888;71,50480053;76,14457678;1,006564979;76,87907573;71,91007079;78,57390017;1,760462476;73,64811483;82,80320471;77,70320565;1,442695094
15;00;64,93194632;70,71513992;73,70930806;0,976084387;77,28380061;70,91888302;78,00891035;1,669763057;73,21105498;83,12275336;76,58898576;1,188235886
15;15;65,46679661;70,37719541;72,23867966;0,94359391;75,92964852;69,0285478;77,19339128;2,030037755;72,95853104;83,80899317;76,12464692;0,965094069
15;30;66,56614488;68,36188309;74,45718165;0,847195987;75,5819092;68,24424023;75,31202716;2,041425109;72,2594822;83,4181494;76,10792447;0,908060362
15;45;66,44751017;67,6813141;73,49591195;0,907020985;76,32044308;68,21546121;75,37807119;1,900783946;70,87974135;83,43197367;77,71866074;0,996077879
16;00;66,51357535;67,86994357;70,17237486;0,90629746;76,06072148;68,16808022;74,69322442;1,992546569;70,73115093;84,90905498;77,36297395;1,155283113
16;15;66,93783251;66,58294017;71,24342411;0,876508003;77,19379813;67,97479199;74,64399028;2,739903854;71,31302835;85,54931111;78,71307579;1,818040106
16;30;68,53810487;65,10962187;71,16885838;0,830528412;79,83774052;68,32564855;73,49624725;5,325105723;73,43364491;87,23410643;79,06981366;4,332892663
16;45;69,20929336;65,01872034;70,18067419;1,045702211;82,78282315;69,42645496;73,05935477;21,78783475;75,40666259;89,70350191;78,94830547;21,75521255
17;00;70,19430406;64,51938358;69,30405685;3,179097583;85,26853752;69,06166792;72,3791473;46,18116622;77,59328719;92,07730967;80,96483171;53,76494123
17;15;72,1662777;64,50017306;69,37264463;8,748870544;87,58794717;69,39816881;72,3192527;58,38196417;81,42980051;93,50742735;82,85789294;67,93905764
17;30;74,76521461;64,43820754;70,78017539;14,10366321;90,98821648;69,1549269;73,58128892;66,56160056;84,54826337;96,86566303;82,8644562;75,84068394
17;45;77,58723979;64,59557861;71,59973823;20,87866848;94,14251939;70,51895562;74,90396511;72,16068854;87,63213616;97,76898858;84,43514713;78,1875927
18;00;80,59188297;64,95519483;73,0482547;28,35137392;95,908579;71,70849036;76,73642907;80,97197592;88,91159194;97,66930607;85,41411384;86,75110734
18;15;83,3077536;64,08542163;72,8099627;34,84231573;97,04491035;72,89068072;79,22219403;87,91793159;90,69837466;100;87,36917795;89,03999751
18;30;86,38917476;63,25696465;73,05256733;42,26196197;98,68231569;72,78130851;79,90120114;94,16407808;91,54739679;98,30924333;91,94188115;94,43863819
18;45;89,93844431;62,80065265;73,17774491;53,60884154;99,20866422;73,06877377;80,26443118;94,61124598;93,28106156;97,98172677;95,46986674;94,49393061
19;00;93,44419583;61,8506828;72,84818337;63,57934738;98,08608037;72,99509167;80,83744356;94,67462054;93,47578764;97,2531042;96,44488604;94,61353484
19;15;97,43980071;60,24193295;72,96843013;77,2565023;98,3043294;74,03534758;79,22590159;94,75454637;94,95389111;97,53357159;97,74974126;94,73811186
19;30;98,87277393;58,95532248;72,04242892;83,88276935;99,17907096;72,85995998;79,7883721;94,84772321;97,13491267;97,02960213;100;94,6731428
19;45;98,86861387;56,68000052;69,54478167;91,43406854;97,55846396;71,95327318;78,7518052;94,77948491;96,26056387;96,00264368;96,58831118;94,57036004
20;00;98,81118393;54,1262677;64,76830194;93,93358689;98,65566851;70,66233078;78,95636985;94,80790266;96,07416823;95,57204979;95,78157767;94,61716577
20;15;98,03988493;45,71402711;55,63935702;94,16178456;99,09466895;71,08284789;77,80600346;95,12748557;96,88107427;96,80360353;95,0352079;94,55772678
20;30;97,78984317;42,57712482;52,47472893;94,20211855;97,55928919;70,95290764;77,06513664;95,1822032;95,94271658;93,93394201;93,85682217;94,27545814
20;45;97,27987255;41,00299183;50,35128342;94,60214961;95,7241331;69,74067899;74,94129729;95,40050549;94,59878231;93,36839915;92,96272159;94,48047074
21;00;95,37313841;39,70775452;46,61291214;95,19280636;93,68992036;66,16029723;67,8861401;95,8207935;92,4778926;89,00612491;85,16433143;95,17040094
21;15;98,62560748;37,69092327;38,5594048;97,73763546;95,66202771;56,05405614;55,34787922;98,17681088;96,03999177;79,62887652;73,43568392;97,2631329
21;30;100;35,73611814;33,32376187;99,44405562;98,36601215;52,22962546;50,59521421;100;99,71697293;75,87720721;68,97007812;98,71882815
21;45;97,91220059;34,98103726;31,45647075;100;100;51,77179608;49,64059611;99,53176325;100;74,97460884;69,57833554;99,1403391
22;00;94,77899961;34,700261;30,08252212;99,29954707;99,39252111;51,32580925;48,72973793;98,23596273;98,82517644;74,30951958;69,76582781;99,1115666
22;15;90,29547374;34,12684829;28,82303363;99,87501653;99,42163269;49,58969785;42,86244871;98,86339548;99,27607181;72,64095174;59,99258575;99,77894812
22;30;84,0405445;32,58708195;27,83714559;99,59467501;96,99088524;48,458669;39,90234293;98,6187982;96,0336553;71,60986739;54,05658997;99,46872845
22;45;76,44178727;31,61838052;27,34537382;98,86534039;92,91853236;48,06330204;38,62732056;97,86539358;90,88108193;69,98068802;53,68342368;98,19282648
23;00;69,2575068;30,59836371;26,83506891;98,79846902;88,09192513;46,97323326;37,66800992;97,76921544;85,26804034;67,78276151;51,61843341;97,74353625
23;15;62,95554153;29,71992066;26,63745562;98,77251088;84,24384078;46,0960675;37,10432938;98,22979297;78,73869558;66,13405706;50,81951362;98,0164293
23;30;57,30794465;29,50735574;26,72528094;98,67152615;78,73607398;45,67551518;38,42921753;98,99027559;72,42938697;64,66125331;52,99742441;98,40839112
23;45;52,40829253;28,5731402;26,13924961;99,09356204;74,38978417;44,11333719;44,42402084;98,75800725;67,61184009;63,84499538;53,53001507;98,60316859
